                             Strategy A Simulation #1 of 10
-----------------------------------------------------------------------------------------
                      |      n = 1,000 |     n = 10,000 |    n = 100,000 |  n = 1,000,000
                      |  Count |     % |  Count |     % |  Count |     % |  Count |     %
Vermont Avenue        |     26 | 2.60% |    281 | 2.81% |   2660 | 2.66% |  25919 | 2.59% 
Connecticut Avenue    |     24 | 2.40% |    245 | 2.45% |   2678 | 2.68% |  25955 | 2.60% 
Jail                  |     65 | 6.50% |    603 | 6.03% |   6087 | 6.09% |  60526 | 6.05% 
St. Charles Place     |     36 | 3.60% |    293 | 2.93% |   3051 | 3.05% |  30405 | 3.04% 
Electric Company      |     31 | 3.10% |    318 | 3.18% |   2866 | 2.87% |  28523 | 2.85% 
States Avenue         |     18 | 1.80% |    256 | 2.56% |   2481 | 2.48% |  24663 | 2.47% 
Virginia Avenue       |     17 | 1.70% |    230 | 2.30% |   2393 | 2.39% |  24626 | 2.46% 
Pennsylvania Railroad |     31 | 3.10% |    281 | 2.81% |   2875 | 2.88% |  28468 | 2.85% 
St. James Place       |     23 | 2.30% |    265 | 2.65% |   2521 | 2.52% |  25359 | 2.54% 
Community Chest       |     31 | 3.10% |    234 | 2.34% |   2464 | 2.46% |  25675 | 2.57% 
Tennessee Avenue      |     26 | 2.60% |    259 | 2.59% |   2619 | 2.62% |  25844 | 2.58% 
New York Avenue       |     29 | 2.90% |    274 | 2.74% |   2745 | 2.74% |  27576 | 2.76% 
Free Parking          |     31 | 3.10% |    248 | 2.48% |   2537 | 2.54% |  25644 | 2.56% 
Kentucky Avenue       |     23 | 2.30% |    271 | 2.71% |   2554 | 2.55% |  25381 | 2.54% 
Chance                |     22 | 2.20% |    261 | 2.61% |   2515 | 2.51% |  25156 | 2.52% 
Indiana Avenue        |     26 | 2.60% |    241 | 2.41% |   2545 | 2.55% |  25568 | 2.56% 
Illinois Avenue       |     26 | 2.60% |    289 | 2.89% |   3043 | 3.04% |  29966 | 3.00% 
B. & O. Railroad      |     29 | 2.90% |    299 | 2.99% |   2768 | 2.77% |  28529 | 2.85% 
Atlantic Avenue       |     20 | 2.00% |    252 | 2.52% |   2552 | 2.55% |  24759 | 2.48% 
Ventnor Avenue        |     26 | 2.60% |    269 | 2.69% |   2439 | 2.44% |  24784 | 2.48% 
Water Works           |     32 | 3.20% |    255 | 2.55% |   2664 | 2.66% |  26271 | 2.63% 
Marvin Gardens        |     21 | 2.10% |    249 | 2.49% |   2372 | 2.37% |  24178 | 2.42% 
Go To Jail            |     28 | 2.80% |    232 | 2.32% |   2496 | 2.50% |  24659 | 2.47% 
Pacific Avenue        |     23 | 2.30% |    253 | 2.53% |   2489 | 2.49% |  25017 | 2.50% 
North Carolina Avenue |     24 | 2.40% |    237 | 2.37% |   2537 | 2.54% |  24851 | 2.49% 
Community Chest       |     21 | 2.10% |    274 | 2.74% |   2612 | 2.61% |  26423 | 2.64% 
Pennsylvania Avenue   |     31 | 3.10% |    238 | 2.38% |   2467 | 2.47% |  25027 | 2.50% 
Short Line            |     15 | 1.50% |    257 | 2.57% |   2457 | 2.46% |  25099 | 2.51% 
Chance                |     30 | 3.00% |    282 | 2.82% |   2520 | 2.52% |  24874 | 2.49% 
Park Place            |     26 | 2.60% |    253 | 2.53% |   2467 | 2.47% |  24624 | 2.46% 
Luxury Tax            |     31 | 3.10% |    233 | 2.33% |   2494 | 2.49% |  24491 | 2.45% 
Boardwalk             |     33 | 3.30% |    278 | 2.78% |   2951 | 2.95% |  29220 | 2.92% 


                             Strategy A Simulation #8 of 10
-----------------------------------------------------------------------------------------
                      |      n = 1,000 |     n = 10,000 |    n = 100,000 |  n = 1,000,000
                      |  Count |     % |  Count |     % |  Count |     % |  Count |     %
Go                    |     23 | 2.30% |    330 | 3.30% |   3422 | 3.42% |  34004 | 3.40% 
Mediterranean Avenue  |     29 | 2.90% |    234 | 2.34% |   2384 | 2.38% |  23843 | 2.38% 
Community Chest       |     26 | 2.60% |    234 | 2.34% |   2355 | 2.36% |  24142 | 2.41% 
Baltic Avenue         |     23 | 2.30% |    239 | 2.39% |   2398 | 2.40% |  23923 | 2.39% 
Income Tax            |     26 | 2.60% |    281 | 2.81% |   2665 | 2.67% |  26226 | 2.62% 
Reading Railroad      |     38 | 3.80% |    298 | 2.98% |   3347 | 3.35% |  33608 | 3.36% 
Oriental Avenue       |     21 | 2.10% |    265 | 2.65% |   2661 | 2.66% |  25679 | 2.57% 
Chance                |     26 | 2.60% |    263 | 2.63% |   2532 | 2.53% |  26148 | 2.61% 
Vermont Avenue        |     33 | 3.30% |    283 | 2.83% |   2618 | 2.62% |  25881 | 2.59% 
Connecticut Avenue    |     30 | 3.00% |    249 | 2.49% |   2616 | 2.62% |  25978 | 2.60% 
Jail                  |     64 | 6.40% |    619 | 6.19% |   6031 | 6.03% |  60245 | 6.02% 
St. Charles Place     |     28 | 2.80% |    297 | 2.97% |   2996 | 3.00% |  30635 | 3.06% 
Electric Company      |     30 | 3.00% |    283 | 2.83% |   2857 | 2.86% |  28441 | 2.84% 
States Avenue         |     24 | 2.40% |    240 | 2.40% |   2396 | 2.40% |  24749 | 2.47% 
Virginia Avenue       |     29 | 2.90% |    221 | 2.21% |   2464 | 2.46% |  24777 | 2.48% 
Pennsylvania Railroad |     12 | 1.20% |    264 | 2.64% |   2891 | 2.89% |  28413 | 2.84% 
St. James Place       |     29 | 2.90% |    253 | 2.53% |   2572 | 2.57% |  25419 | 2.54% 
Community Chest       |     32 | 3.20% |    281 | 2.81% |   2580 | 2.58% |  25371 | 2.54% 
Tennessee Avenue      |     22 | 2.20% |    247 | 2.47% |   2630 | 2.63% |  25518 | 2.55% 
New York Avenue       |     27 | 2.70% |    283 | 2.83% |   2710 | 2.71% |  27362 | 2.74% 
Free Parking          |     24 | 2.40% |    278 | 2.78% |   2505 | 2.51% |  26075 | 2.61% 
Kentucky Avenue       |     23 | 2.30% |    235 | 2.35% |   2490 | 2.49% |  25534 | 2.55% 
Chance                |     29 | 2.90% |    234 | 2.34% |   2591 | 2.59% |  25406 | 2.54% 
Indiana Avenue        |     26 | 2.60% |    252 | 2.52% |   2521 | 2.52% |  25121 | 2.51% 
Illinois Avenue       |     24 | 2.40% |    317 | 3.17% |   2905 | 2.91% |  30073 | 3.01% 
B. & O. Railroad      |     34 | 3.40% |    292 | 2.92% |   2813 | 2.81% |  28148 | 2.81% 
Atlantic Avenue       |     24 | 2.40% |    253 | 2.53% |   2479 | 2.48% |  24919 | 2.49% 
Ventnor Avenue        |     24 | 2.40% |    250 | 2.50% |   2479 | 2.48% |  24889 | 2.49% 
Water Works           |     26 | 2.60% |    240 | 2.40% |   2630 | 2.63% |  26015 | 2.60% 
Marvin Gardens        |     21 | 2.10% |    250 | 2.50% |   2468 | 2.47% |  24397 | 2.44% 
Go To Jail            |     26 | 2.60% |    235 | 2.35% |   2425 | 2.43% |  24666 | 2.47% 
Pacific Avenue        |     27 | 2.70% |    261 | 2.61% |   2596 | 2.60% |  24861 | 2.49% 
North Carolina Avenue |     23 | 2.30% |    249 | 2.49% |   2435 | 2.44% |  24970 | 2.50% 
Community Chest       |     29 | 2.90% |    281 | 2.81% |   2641 | 2.64% |  26478 | 2.65% 
Pennsylvania Avenue   |     21 | 2.10% |    229 | 2.29% |   2512 | 2.51% |  25025 | 2.50% 
Short Line            |     23 | 2.30% |    236 | 2.36% |   2530 | 2.53% |  24931 | 2.49% 
Chance                |     26 | 2.60% |    264 | 2.64% |   2509 | 2.51% |  24697 | 2.47% 
Park Place            |     26 | 2.60% |    275 | 2.75% |   2445 | 2.45% |  24969 | 2.50% 
Luxury Tax            |     32 | 3.20% |    250 | 2.50% |   2477 | 2.48% |  24580 | 2.46% 
Boardwalk             |     33 | 3.30% |    299 | 2.99% |   2922 | 2.92% |  29292 | 2.93% 


                             Strategy A Simulation #9 of 10
-----------------------------------------------------------------------------------------
                      |      n = 1,000 |     n = 10,000 |    n = 100,000 |  n = 1,000,000
                      |  Count |     % |  Count |     % |  Count |     % |  Count |     %
Go                    |     46 | 4.60% |    324 | 3.24% |   3462 | 3.46% |  33990 | 3.40% 
Mediterranean Avenue  |     22 | 2.20% |    263 | 2.63% |   2391 | 2.39% |  23677 | 2.37% 
Community Chest       |     22 | 2.20% |    251 | 2.51% |   2315 | 2.32% |  24118 | 2.41% 
Baltic Avenue         |     26 | 2.60% |    228 | 2.28% |   2330 | 2.33% |  23920 | 2.39% 
Income Tax            |     24 | 2.40% |    265 | 2.65% |   2588 | 2.59% |  26191 | 2.62% 
Reading Railroad      |     35 | 3.50% |    340 | 3.40% |   3378 | 3.38% |  33683 | 3.37% 
Oriental Avenue       |     22 | 2.20% |    253 | 2.53% |   2547 | 2.55% |  25866 | 2.59% 
Chance                |     25 | 2.50% |    251 | 2.51% |   2632 | 2.63% |  26017 | 2.60% 
Vermont Avenue        |     21 | 2.10% |    249 | 2.49% |   2680 | 2.68% |  26162 | 2.62% 
Connecticut Avenue    |     31 | 3.10% |    273 | 2.73% |   2534 | 2.53% |  25884 | 2.59% 
Jail                  |     63 | 6.30% |    608 | 6.08% |   6176 | 6.18% |  60015 | 6.00% 
St. Charles Place     |     31 | 3.10% |    288 | 2.88% |   3076 | 3.08% |  30587 | 3.06% 
Electric Company      |     27 | 2.70% |    257 | 2.57% |   2878 | 2.88% |  28252 | 2.83% 
States Avenue         |     22 | 2.20% |    255 | 2.55% |   2424 | 2.42% |  24654 | 2.47% 
Virginia Avenue       |     26 | 2.60% |    279 | 2.79% |   2496 | 2.50% |  24969 | 2.50% 
Pennsylvania Railroad |     29 | 2.90% |    282 | 2.82% |   2871 | 2.87% |  28754 | 2.88% 
St. James Place       |     22 | 2.20% |    246 | 2.46% |   2506 | 2.51% |  25415 | 2.54% 
Community Chest       |     31 | 3.10% |    267 | 2.67% |   2599 | 2.60% |  25317 | 2.53% 
Tennessee Avenue      |     28 | 2.80% |    253 | 2.53% |   2522 | 2.52% |  25848 | 2.58% 
New York Avenue       |     36 | 3.60% |    294 | 2.94% |   2751 | 2.75% |  27425 | 2.74% 
Free Parking          |     23 | 2.30% |    261 | 2.61% |   2501 | 2.50% |  25516 | 2.55% 
Kentucky Avenue       |     23 | 2.30% |    258 | 2.58% |   2584 | 2.58% |  25505 | 2.55% 
Chance                |     21 | 2.10% |    258 | 2.58% |   2525 | 2.53% |  25151 | 2.52% 
Indiana Avenue        |     27 | 2.70% |    248 | 2.48% |   2561 | 2.56% |  25170 | 2.52% 
Illinois Avenue       |     26 | 2.60% |    304 | 3.04% |   3017 | 3.02% |  30227 | 3.02% 
B. & O. Railroad      |     27 | 2.70% |    274 | 2.74% |   2855 | 2.86% |  28204 | 2.82% 
Atlantic Avenue       |     30 | 3.00% |    238 | 2.38% |   2466 | 2.47% |  24822 | 2.48% 
Ventnor Avenue        |     16 | 1.60% |    271 | 2.71% |   2385 | 2.39% |  25022 | 2.50% 
Water Works           |     34 | 3.40% |    235 | 2.35% |   2642 | 2.64% |  26492 | 2.65% 
Marvin Gardens        |     24 | 2.40% |    238 | 2.38% |   2440 | 2.44% |  23838 | 2.38% 
Go To Jail            |     25 | 2.50% |    221 | 2.21% |   2562 | 2.56% |  24520 | 2.45% 
Pacific Avenue        |     18 | 1.80% |    270 | 2.70% |   2490 | 2.49% |  25007 | 2.50% 
North Carolina Avenue |     18 | 1.80% |    233 | 2.33% |   2527 | 2.53% |  24852 | 2.49% 
Community Chest       |     27 | 2.70% |    264 | 2.64% |   2607 | 2.61% |  26539 | 2.65% 
Pennsylvania Avenue   |     28 | 2.80% |    245 | 2.45% |   2473 | 2.47% |  24945 | 2.49% 
Short Line            |     29 | 2.90% |    278 | 2.78% |   2379 | 2.38% |  25015 | 2.50% 
Chance                |     23 | 2.30% |    243 | 2.43% |   2592 | 2.59% |  24768 | 2.48% 
Park Place            |     21 | 2.10% |    236 | 2.36% |   2495 | 2.50% |  25095 | 2.51% 
Luxury Tax            |     25 | 2.50% |    218 | 2.18% |   2479 | 2.48% |  24321 | 2.43% 
Boardwalk             |     27 | 2.70% |    306 | 3.06% |   2973 | 2.97% |  29305 | 2.93% 


                             Strategy A Simulation #10 of 10
-----------------------------------------------------------------------------------------
                      |      n = 1,000 |     n = 10,000 |    n = 100,000 |  n = 1,000,000
                      |  Count |     % |  Count |     % |  Count |     % |  Count |     %
Go                    |     35 | 3.50% |    315 | 3.15% |   3400 | 3.40% |  33889 | 3.39% 
Mediterranean Avenue  |     23 | 2.30% |    252 | 2.52% |   2396 | 2.40% |  23721 | 2.37% 
Community Chest       |     23 | 2.30% |    219 | 2.19% |   2422 | 2.42% |  23820 | 2.38% 
Baltic Avenue         |     28 | 2.80% |    231 | 2.31% |   2438 | 2.44% |  23972 | 2.40% 
Income Tax            |     28 | 2.80% |    266 | 2.66% |   2605 | 2.61% |  26247 | 2.62% 
Reading Railroad      |     38 | 3.80% |    370 | 3.70% |   3283 | 3.28% |  33572 | 3.36% 
Oriental Avenue       |     25 | 2.50% |    271 | 2.71% |   2567 | 2.57% |  25885 | 2.59% 
Chance                |     21 | 2.10% |    262 | 2.62% |   2644 | 2.64% |  25959 | 2.60% 
Vermont Avenue        |     25 | 2.50% |    256 | 2.56% |   2644 | 2.64% |  26157 | 2.62% 
Connecticut Avenue    |     24 | 2.40% |    252 | 2.52% |   2638 | 2.64% |  25730 | 2.57% 
Jail                  |     63 | 6.30% |    582 | 5.82% |   5935 | 5.94% |  60635 | 6.06% 
St. Charles Place     |     28 | 2.80% |    293 | 2.93% |   3055 | 3.06% |  30467 | 3.05% 
Electric Company      |     17 | 1.70% |    281 | 2.81% |   2891 | 2.89% |  28757 | 2.88% 
States Avenue         |     37 | 3.70% |    249 | 2.49% |   2476 | 2.48% |  24678 | 2.47% 
Virginia Avenue       |     18 | 1.80% |    259 | 2.59% |   2497 | 2.50% |  24742 | 2.47% 
Pennsylvania Railroad |     32 | 3.20% |    295 | 2.95% |   2861 | 2.86% |  28518 | 2.85% 
St. James Place       |     17 | 1.70% |    231 | 2.31% |   2498 | 2.50% |  25144 | 2.51% 
Community Chest       |     20 | 2.00% |    265 | 2.65% |   2546 | 2.55% |  25740 | 2.57% 
Tennessee Avenue      |     22 | 2.20% |    260 | 2.60% |   2633 | 2.63% |  25755 | 2.58% 
New York Avenue       |     29 | 2.90% |    276 | 2.76% |   2713 | 2.71% |  27444 | 2.74% 
Free Parking          |     31 | 3.10% |    225 | 2.25% |   2532 | 2.53% |  25669 | 2.57% 
Kentucky Avenue       |     31 | 3.10% |    237 | 2.37% |   2558 | 2.56% |  25586 | 2.56% 
Chance                |     19 | 1.90% |    259 | 2.59% |   2528 | 2.53% |  25483 | 2.55% 
Indiana Avenue        |     27 | 2.70% |    265 | 2.65% |   2566 | 2.57% |  25205 | 2.52% 
Illinois Avenue       |     33 | 3.30% |    326 | 3.26% |   2973 | 2.97% |  30066 | 3.01% 
B. & O. Railroad      |     27 | 2.70% |    282 | 2.82% |   2859 | 2.86% |  28161 | 2.82% 
Atlantic Avenue       |     30 | 3.00% |    255 | 2.55% |   2479 | 2.48% |  24995 | 2.50% 
Ventnor Avenue        |     20 | 2.00% |    238 | 2.38% |   2519 | 2.52% |  24619 | 2.46% 
Water Works           |     35 | 3.50% |    279 | 2.79% |   2574 | 2.57% |  26325 | 2.63% 
Marvin Gardens        |     17 | 1.70% |    268 | 2.68% |   2447 | 2.45% |  24076 | 2.41% 
Go To Jail            |     28 | 2.80% |    228 | 2.28% |   2424 | 2.42% |  24811 | 2.48% 
Pacific Avenue        |     25 | 2.50% |    247 | 2.47% |   2532 | 2.53% |  24741 | 2.47% 
North Carolina Avenue |     26 | 2.60% |    223 | 2.23% |   2519 | 2.52% |  24778 | 2.48% 
Community Chest       |     22 | 2.20% |    268 | 2.68% |   2589 | 2.59% |  26616 | 2.66% 
Pennsylvania Avenue   |     23 | 2.30% |    241 | 2.41% |   2474 | 2.47% |  25018 | 2.50% 
Short Line            |     27 | 2.70% |    244 | 2.44% |   2490 | 2.49% |  24971 | 2.50% 
Chance                |     12 | 1.20% |    264 | 2.64% |   2563 | 2.56% |  25022 | 2.50% 
Park Place            |     32 | 3.20% |    262 | 2.62% |   2460 | 2.46% |  24649 | 2.46% 
Luxury Tax            |     27 | 2.70% |    257 | 2.57% |   2358 | 2.36% |  24803 | 2.48% 
Boardwalk             |     26 | 2.60% |    296 | 2.96% |   2980 | 2.98% |  29293 | 2.93% 


                             Strategy B Simulation #1 of 10
-----------------------------------------------------------------------------------------
                      |      n = 1,000 |     n = 10,000 |    n = 100,000 |  n = 1,000,000
                      |  Count |     % |  Count |     % |  Count |     % |  Count |     %
Go                    |     32 | 3.20% |    355 | 3.55% |   3430 | 3.43% |  34021 | 3.40% 
Mediterranean Avenue  |     26 | 2.60% |    216 | 2.16% |   2434 | 2.43% |  23962 | 2.40% 
Community Chest       |     24 | 2.40% |    236 | 2.36% |   2404 | 2.40% |  23988 | 2.40% 
Baltic Avenue         |     28 | 2.80% |    232 | 2.32% |   2394 | 2.39% |  23962 | 2.40% 
Income Tax            |     25 | 2.50% |    263 | 2.63% |   2611 | 2.61% |  26324 | 2.63% 
Reading Railroad      |     31 | 3.10% |    350 | 3.50% |   3343 | 3.34% |  33313 | 3.33% 
Oriental Avenue       |     32 | 3.20% |    267 | 2.67% |   2549 | 2.55% |  25539 | 2.55% 
Chance                |     23 | 2.30% |    255 | 2.55% |   2601 | 2.60% |  26143 | 2.61% 
Vermont Avenue        |     23 | 2.30% |    245 | 2.45% |   2632 | 2.63% |  26097 | 2.61% 
Connecticut Avenue    |     22 | 2.20% |    244 | 2.44% |   2621 | 2.62% |  26150 | 2.61% 
Jail                  |     56 | 5.60% |    590 | 5.90% |   6098 | 6.10% |  60220 | 6.02% 
St. Charles Place     |     27 | 2.70% |    318 | 3.18% |   3046 | 3.05% |  30371 | 3.04% 
Electric Company      |     31 | 3.10% |    283 | 2.83% |   2847 | 2.85% |  28691 | 2.87% 
States Avenue         |     39 | 3.90% |    225 | 2.25% |   2502 | 2.50% |  24817 | 2.48% 
Virginia Avenue       |     23 | 2.30% |    258 | 2.58% |   2485 | 2.49% |  24723 | 2.47% 
Pennsylvania Railroad |     27 | 2.70% |    315 | 3.15% |   2791 | 2.79% |  28526 | 2.85% 
St. James Place       |     25 | 2.50% |    254 | 2.54% |   2545 | 2.55% |  25416 | 2.54% 
Community Chest       |     21 | 2.10% |    246 | 2.46% |   2570 | 2.57% |  25667 | 2.57% 
Tennessee Avenue      |     24 | 2.40% |    245 | 2.45% |   2559 | 2.56% |  25687 | 2.57% 
New York Avenue       |     28 | 2.80% |    265 | 2.65% |   2653 | 2.65% |  27283 | 2.73% 
Free Parking          |     27 | 2.70% |    254 | 2.54% |   2597 | 2.60% |  25655 | 2.57% 
Kentucky Avenue       |     38 | 3.80% |    273 | 2.73% |   2549 | 2.55% |  25452 | 2.55% 
Chance                |     22 | 2.20% |    251 | 2.51% |   2490 | 2.49% |  25421 | 2.54% 
Indiana Avenue        |     25 | 2.50% |    243 | 2.43% |   2593 | 2.59% |  25418 | 2.54% 
Illinois Avenue       |     29 | 2.90% |    307 | 3.07% |   3001 | 3.00% |  30015 | 3.00% 
B. & O. Railroad      |     29 | 2.90% |    299 | 2.99% |   2903 | 2.90% |  28297 | 2.83% 
Atlantic Avenue       |     25 | 2.50% |    265 | 2.65% |   2449 | 2.45% |  24797 | 2.48% 
Ventnor Avenue        |     24 | 2.40% |    250 | 2.50% |   2544 | 2.54% |  24737 | 2.47% 
Water Works           |     18 | 1.80% |    260 | 2.60% |   2584 | 2.58% |  26291 | 2.63% 
Marvin Gardens        |     25 | 2.50% |    223 | 2.23% |   2307 | 2.31% |  24603 | 2.46% 
Go To Jail            |     20 | 2.00% |    240 | 2.40% |   2543 | 2.54% |  24731 | 2.47% 
Pacific Avenue        |     27 | 2.70% |    247 | 2.47% |   2530 | 2.53% |  24669 | 2.47% 
North Carolina Avenue |     26 | 2.60% |    244 | 2.44% |   2461 | 2.46% |  24714 | 2.47% 
Community Chest       |     24 | 2.40% |    281 | 2.81% |   2660 | 2.66% |  26355 | 2.64% 
Pennsylvania Avenue   |     20 | 2.00% |    246 | 2.46% |   2519 | 2.52% |  25085 | 2.51% 
Short Line            |     25 | 2.50% |    247 | 2.47% |   2484 | 2.48% |  25065 | 2.51% 
Chance                |     29 | 2.90% |    235 | 2.35% |   2486 | 2.49% |  24993 | 2.50% 
Park Place            |     23 | 2.30% |    247 | 2.47% |   2401 | 2.40% |  24661 | 2.47% 
Luxury Tax            |     29 | 2.90% |    280 | 2.80% |   2422 | 2.42% |  24521 | 2.45% 
Boardwalk             |     26 | 2.60% |    280 | 2.80% |   2951 | 2.95% |  29299 | 2.93% 


                             Strategy B Simulation #2 of 10
-----------------------------------------------------------------------------------------
                      |      n = 1,000 |     n = 10,000 |    n = 100,000 |  n = 1,000,000
                      |  Count |     % |  Count |     % |  Count |     % |  Count |     %
Go                    |     35 | 3.50% |    364 | 3.64% |   3451 | 3.45% |  33975 | 3.40% 
Mediterranean Avenue  |     18 | 1.80% |    234 | 2.34% |   2393 | 2.39% |  23913 | 2.39% 
Community Chest       |     26 | 2.60% |    248 | 2.48% |   2408 | 2.41% |  23906 | 2.39% 
Baltic Avenue         |     20 | 2.00% |    224 | 2.24% |   2432 | 2.43% |  23983 | 2.40% 
Income Tax            |     29 | 2.90% |    258 | 2.58% |   2609 | 2.61% |  26183 | 2.62% 
Reading Railroad      |     44 | 4.40% |    328 | 3.28% |   3353 | 3.35% |  33329 | 3.33% 
Oriental Avenue       |     26 | 2.60% |    279 | 2.79% |   2542 | 2.54% |  25509 | 2.55% 
Chance                |     28 | 2.80% |    258 | 2.58% |   2655 | 2.66% |  26055 | 2.61% 
Vermont Avenue        |     19 | 1.90% |    263 | 2.63% |   2664 | 2.66% |  26150 | 2.61% 
Connecticut Avenue    |     21 | 2.10% |    255 | 2.55% |   2583 | 2.58% |  25819 | 2.58% 
Jail                  |     56 | 5.60% |    630 | 6.30% |   6026 | 6.03% |  60224 | 6.02% 
St. Charles Place     |     37 | 3.70% |    317 | 3.17% |   3052 | 3.05% |  30597 | 3.06% 
Electric Company      |     25 | 2.50% |    275 | 2.75% |   2813 | 2.81% |  28764 | 2.88% 
States Avenue         |     27 | 2.70% |    247 | 2.47% |   2410 | 2.41% |  24573 | 2.46% 
Virginia Avenue       |     26 | 2.60% |    269 | 2.69% |   2489 | 2.49% |  24791 | 2.48% 
Pennsylvania Railroad |     28 | 2.80% |    267 | 2.67% |   2828 | 2.83% |  28790 | 2.88% 
St. James Place       |     18 | 1.80% |    255 | 2.55% |   2558 | 2.56% |  25076 | 2.51% 
Community Chest       |     29 | 2.90% |    270 | 2.70% |   2585 | 2.59% |  25828 | 2.58% 
Tennessee Avenue      |     22 | 2.20% |    245 | 2.45% |   2575 | 2.57% |  25761 | 2.58% 
New York Avenue       |     34 | 3.40% |    277 | 2.77% |   2664 | 2.66% |  27357 | 2.74% 
Free Parking          |     29 | 2.90% |    274 | 2.74% |   2542 | 2.54% |  25815 | 2.58% 
Kentucky Avenue       |     27 | 2.70% |    264 | 2.64% |   2548 | 2.55% |  25452 | 2.55% 
Chance                |     28 | 2.80% |    240 | 2.40% |   2533 | 2.53% |  25248 | 2.52% 
Indiana Avenue        |     18 | 1.80% |    247 | 2.47% |   2548 | 2.55% |  25479 | 2.55% 
Illinois Avenue       |     29 | 2.90% |    297 | 2.97% |   3080 | 3.08% |  29906 | 2.99% 
B. & O. Railroad      |     23 | 2.30% |    274 | 2.74% |   2821 | 2.82% |  28238 | 2.82% 
Atlantic Avenue       |     26 | 2.60% |    238 | 2.38% |   2475 | 2.48% |  24955 | 2.50% 
Ventnor Avenue        |     28 | 2.80% |    234 | 2.34% |   2484 | 2.48% |  24971 | 2.50% 
Water Works           |     25 | 2.50% |    275 | 2.75% |   2586 | 2.59% |  26036 | 2.60% 
Marvin Gardens        |     29 | 2.90% |    257 | 2.57% |   2419 | 2.42% |  24629 | 2.46% 
Go To Jail            |     21 | 2.10% |    275 | 2.75% |   2425 | 2.43% |  24654 | 2.47% 
Pacific Avenue        |     30 | 3.00% |    222 | 2.22% |   2520 | 2.52% |  24801 | 2.48% 
North Carolina Avenue |     28 | 2.80% |    235 | 2.35% |   2581 | 2.58% |  24909 | 2.49% 
Community Chest       |     19 | 1.90% |    271 | 2.71% |   2605 | 2.61% |  26355 | 2.64% 
Pennsylvania Avenue   |     30 | 3.00% |    253 | 2.53% |   2453 | 2.45% |  24946 | 2.49% 
Short Line            |     21 | 2.10% |    261 | 2.61% |   2519 | 2.52% |  24795 | 2.48% 
Chance                |     26 | 2.60% |    230 | 2.30% |   2463 | 2.46% |  25096 | 2.51% 
Park Place            |     25 | 2.50% |    243 | 2.43% |   2456 | 2.46% |  24706 | 2.47% 
Luxury Tax            |     28 | 2.80% |    214 | 2.14% |   2439 | 2.44% |  24480 | 2.45% 
Boardwalk             |     24 | 2.40% |    296 | 2.96% |   2930 | 2.93% |  29459 | 2.95% 


                             Strategy B Simulation #3 of 10
-----------------------------------------------------------------------------------------
                      |      n = 1,000 |     n = 10,000 |    n = 100,000 |  n = 1,000,000
                      |  Count |     % |  Count |     % |  Count |     % |  Count |     %
Go                    |     40 | 4.00% |    309 | 3.09% |   3395 | 3.40% |  33917 | 3.39% 
Mediterranean Avenue  |     21 | 2.10% |    227 | 2.27% |   2353 | 2.35% |  23716 | 2.37% 
Community Chest       |     19 | 1.90% |    231 | 2.31% |   2457 | 2.46% |  23950 | 2.40% 
Baltic Avenue         |     21 | 2.10% |    258 | 2.58% |   2336 | 2.34% |  24173 | 2.42% 
Income Tax            |     36 | 3.60% |    272 | 2.72% |   2701 | 2.70% |  26194 | 2.62% 
Reading Railroad      |     26 | 2.60% |    327 | 3.27% |   3328 | 3.33% |  33597 | 3.36% 
Oriental Avenue       |     23 | 2.30% |    245 | 2.45% |   2571 | 2.57% |  25598 | 2.56% 
Chance                |     28 | 2.80% |    277 | 2.77% |   2679 | 2.68% |  26069 | 2.61% 
Vermont Avenue        |     15 | 1.50% |    258 | 2.58% |   2645 | 2.65% |  26280 | 2.63% 
Connecticut Avenue    |     37 | 3.70% |    226 | 2.26% |   2581 | 2.58% |  25870 | 2.59% 
Jail                  |     64 | 6.40% |    640 | 6.40% |   5917 | 5.92% |  60627 | 6.06% 
St. Charles Place     |     31 | 3.10% |    290 | 2.90% |   3035 | 3.03% |  30470 | 3.05% 
Electric Company      |     25 | 2.50% |    317 | 3.17% |   2901 | 2.90% |  28336 | 2.83% 
States Avenue         |     19 | 1.90% |    249 | 2.49% |   2488 | 2.49% |  24719 | 2.47% 
Virginia Avenue       |     24 | 2.40% |    269 | 2.69% |   2512 | 2.51% |  24759 | 2.48% 
Pennsylvania Railroad |     36 | 3.60% |    290 | 2.90% |   2811 | 2.81% |  28734 | 2.87% 
St. James Place       |     27 | 2.70% |    240 | 2.40% |   2564 | 2.56% |  25282 | 2.53% 
Community Chest       |     28 | 2.80% |    239 | 2.39% |   2543 | 2.54% |  25324 | 2.53% 
Tennessee Avenue      |     26 | 2.60% |    266 | 2.66% |   2581 | 2.58% |  25549 | 2.55% 
New York Avenue       |     26 | 2.60% |    253 | 2.53% |   2653 | 2.65% |  27531 | 2.75% 
Free Parking          |     21 | 2.10% |    268 | 2.68% |   2616 | 2.62% |  25695 | 2.57% 
Kentucky Avenue       |     26 | 2.60% |    280 | 2.80% |   2571 | 2.57% |  25588 | 2.56% 
Chance                |     20 | 2.00% |    219 | 2.19% |   2480 | 2.48% |  25362 | 2.54% 
Indiana Avenue        |     29 | 2.90% |    255 | 2.55% |   2481 | 2.48% |  25411 | 2.54% 
