                             Strategy A Simulation #1 of 10
-----------------------------------------------------------------------------------------
                      |      n = 1,000 |     n = 10,000 |    n = 100,000 |  n = 1,000,000
                      |  Count |     % |  Count |     % |  Count |     % |  Count |     %
Community Chest       |     30 | 3.00% |    256 | 2.56% |   2543 | 2.54% |  25441 | 2.54% 
Tennessee Avenue      |     33 | 3.30% |    262 | 2.62% |   2669 | 2.67% |  25869 | 2.59% 
New York Avenue       |     27 | 2.70% |    267 | 2.67% |   2710 | 2.71% |  27238 | 2.72% 
Free Parking          |     27 | 2.70% |    280 | 2.80% |   2586 | 2.59% |  25912 | 2.59% 
Kentucky Avenue       |     18 | 1.80% |    236 | 2.36% |   2616 | 2.62% |  25500 | 2.55% 
Chance                |     22 | 2.20% |    266 | 2.66% |   2542 | 2.54% |  25441 | 2.54% 
Indiana Avenue        |     25 | 2.50% |    255 | 2.55% |   2541 | 2.54% |  25230 | 2.52% 
Illinois Avenue       |     32 | 3.20% |    303 | 3.03% |   2990 | 2.99% |  30332 | 3.03% 
B. & O. Railroad      |     31 | 3.10% |    267 | 2.67% |   2851 | 2.85% |  28011 | 2.80% 
Atlantic Avenue       |     31 | 3.10% |    264 | 2.64% |   2443 | 2.44% |  24836 | 2.48% 
Ventnor Avenue        |     21 | 2.10% |    234 | 2.34% |   2529 | 2.53% |  24838 | 2.48% 
Water Works           |     26 | 2.60% |    256 | 2.56% |   2584 | 2.58% |  26388 | 2.64% 
Marvin Gardens        |     20 | 2.00% |    250 | 2.50% |   2434 | 2.43% |  24421 | 2.44% 
Go To Jail            |     26 | 2.60% |    248 | 2.48% |   2560 | 2.56% |  24477 | 2.45% 
Pacific Avenue        |     21 | 2.10% |    243 | 2.43% |   2480 | 2.48% |  24704 | 2.47% 
North Carolina Avenue |     23 | 2.30% |    261 | 2.61% |   2440 | 2.44% |  24965 | 2.50% 
Community Chest       |     23 | 2.30% |    268 | 2.68% |   2614 | 2.61% |  26475 | 2.65% 
Pennsylvania Avenue   |     26 | 2.60% |    258 | 2.58% |   2449 | 2.45% |  25211 | 2.52% 
Short Line            |     32 | 3.20% |    236 | 2.36% |   2491 | 2.49% |  24777 | 2.48% 
Chance                |     21 | 2.10% |    259 | 2.59% |   2489 | 2.49% |  24824 | 2.48% 
Park Place            |     29 | 2.90% |    250 | 2.50% |   2499 | 2.50% |  24968 | 2.50% 
Luxury Tax            |     26 | 2.60% |    250 | 2.50% |   2446 | 2.45% |  24419 | 2.44% 
Boardwalk             |     33 | 3.30% |    294 | 2.94% |   2918 | 2.92% |  29146 | 2.91% 


                             Strategy A Simulation #3 of 10
-----------------------------------------------------------------------------------------
                      |      n = 1,000 |     n = 10,000 |    n = 100,000 |  n = 1,000,000
                      |  Count |     % |  Count |     % |  Count |     % |  Count |     %
Go                    |     32 | 3.20% |    365 | 3.65% |   3486 | 3.49% |  33905 | 3.39% 
Mediterranean Avenue  |     21 | 2.10% |    208 | 2.08% |   2316 | 2.32% |  23575 | 2.36% 
Community Chest       |     28 | 2.80% |    261 | 2.61% |   2409 | 2.41% |  24367 | 2.44% 
Baltic Avenue         |     23 | 2.30% |    242 | 2.42% |   2431 | 2.43% |  23908 | 2.39% 
Income Tax            |     27 | 2.70% |    259 | 2.59% |   2636 | 2.64% |  26349 | 2.63% 
Reading Railroad      |     39 | 3.90% |    363 | 3.63% |   3360 | 3.36% |  33338 | 3.33% 
