                             Strategy A Simulation #1 of 10
-----------------------------------------------------------------------------------------
                      |      n = 1,000 |     n = 10,000 |    n = 100,000 |  n = 1,000,000
                      |  Count |     % |  Count |     % |  Count |     % |  Count |     %
Community Chest       |     24 | 2.40% |    258 | 2.58% |   2492 | 2.49% |  25522 | 2.55% 
Tennessee Avenue      |     21 | 2.10% |    254 | 2.54% |   2587 | 2.59% |  25715 | 2.57% 
New York Avenue       |     26 | 2.60% |    267 | 2.67% |   2762 | 2.76% |  27270 | 2.73% 
Free Parking          |     27 | 2.70% |    275 | 2.75% |   2597 | 2.60% |  25488 | 2.55% 
Kentucky Avenue       |     24 | 2.40% |    245 | 2.45% |   2469 | 2.47% |  25804 | 2.58% 
Chance                |     21 | 2.10% |    236 | 2.36% |   2561 | 2.56% |  25303 | 2.53% 
Indiana Avenue        |     24 | 2.40% |    242 | 2.42% |   2542 | 2.54% |  25345 | 2.53% 
Illinois Avenue       |     31 | 3.10% |    290 | 2.90% |   3079 | 3.08% |  30127 | 3.01% 
B. & O. Railroad      |     35 | 3.50% |    314 | 3.14% |   2828 | 2.83% |  28447 | 2.84% 
Atlantic Avenue       |     24 | 2.40% |    269 | 2.69% |   2477 | 2.48% |  25078 | 2.51% 
Ventnor Avenue        |     26 | 2.60% |    258 | 2.58% |   2459 | 2.46% |  24715 | 2.47% 
Water Works           |     25 | 2.50% |    249 | 2.49% |   2724 | 2.72% |  26107 | 2.61% 
Marvin Gardens        |     24 | 2.40% |    257 | 2.57% |   2291 | 2.29% |  24351 | 2.44% 
Go To Jail            |     30 | 3.00% |    208 | 2.08% |   2409 | 2.41% |  24476 | 2.45% 
Pacific Avenue        |     26 | 2.60% |    262 | 2.62% |   2465 | 2.47% |  24776 | 2.48% 
North Carolina Avenue |     22 | 2.20% |    253 | 2.53% |   2542 | 2.54% |  24774 | 2.48% 
Community Chest       |     20 | 2.00% |    251 | 2.51% |   2703 | 2.70% |  26392 | 2.64% 
Pennsylvania Avenue   |     24 | 2.40% |    277 | 2.77% |   2426 | 2.43% |  25074 | 2.51% 
Short Line            |     25 | 2.50% |    241 | 2.41% |   2553 | 2.55% |  25054 | 2.51% 
Chance                |     32 | 3.20% |    221 | 2.21% |   2524 | 2.52% |  24440 | 2.44% 
Park Place            |     21 | 2.10% |    253 | 2.53% |   2475 | 2.48% |  24822 | 2.48% 
Luxury Tax            |     35 | 3.50% |    257 | 2.57% |   2427 | 2.43% |  24116 | 2.41% 
Boardwalk             |     17 | 1.70% |    281 | 2.81% |   2849 | 2.85% |  29361 | 2.94% 


                             Strategy A Simulation #3 of 10
-----------------------------------------------------------------------------------------
                      |      n = 1,000 |     n = 10,000 |    n = 100,000 |  n = 1,000,000
                      |  Count |     % |  Count |     % |  Count |     % |  Count |     %
Go                    |     32 | 3.20% |    324 | 3.24% |   3440 | 3.44% |  33915 | 3.39% 
Mediterranean Avenue  |     26 | 2.60% |    236 | 2.36% |   2332 | 2.33% |  23841 | 2.38% 
Community Chest       |     30 | 3.00% |    226 | 2.26% |   2378 | 2.38% |  23954 | 2.40% 
Baltic Avenue         |     14 | 1.40% |    263 | 2.63% |   2339 | 2.34% |  24004 | 2.40% 
Income Tax            |     28 | 2.80% |    254 | 2.54% |   2628 | 2.63% |  26219 | 2.62% 
Reading Railroad      |     42 | 4.20% |    330 | 3.30% |   3383 | 3.38% |  33252 | 3.33% 
Oriental Avenue       |     27 | 2.70% |    263 | 2.63% |   2545 | 2.55% |  25798 | 2.58% 
Chance                |     25 | 2.50% |    248 | 2.48% |   2664 | 2.66% |  26342 | 2.63% 
Vermont Avenue        |     21 | 2.10% |    276 | 2.76% |   2620 | 2.62% |  26194 | 2.62% 
Connecticut Avenue    |     25 | 2.50% |    248 | 2.48% |   2545 | 2.55% |  25862 | 2.59% 
Jail                  |     57 | 5.70% |    592 | 5.92% |   5967 | 5.97% |  60112 | 6.01% 
St. Charles Place     |     29 | 2.90% |    325 | 3.25% |   3120 | 3.12% |  30561 | 3.06% 
Electric Company      |     31 | 3.10% |    308 | 3.08% |   2846 | 2.85% |  28353 | 2.84% 
States Avenue         |     27 | 2.70% |    242 | 2.42% |   2571 | 2.57% |  24958 | 2.50% 
Virginia Avenue       |     25 | 2.50% |    238 | 2.38% |   2480 | 2.48% |  24509 | 2.45% 
Pennsylvania Railroad |     29 | 2.90% |    271 | 2.71% |   2769 | 2.77% |  28575 | 2.86% 
St. James Place       |     24 | 2.40% |    270 | 2.70% |   2550 | 2.55% |  25558 | 2.56% 
Community Chest       |     27 | 2.70% |    272 | 2.72% |   2631 | 2.63% |  25386 | 2.54% 
Tennessee Avenue      |     22 | 2.20% |    240 | 2.40% |   2566 | 2.57% |  25955 | 2.60% 
New York Avenue       |     31 | 3.10% |    256 | 2.56% |   2685 | 2.69% |  27085 | 2.71% 
Free Parking          |     30 | 3.00% |    293 | 2.93% |   2547 | 2.55% |  25867 | 2.59% 
Kentucky Avenue       |     27 | 2.70% |    235 | 2.35% |   2527 | 2.53% |  25396 | 2.54% 
Chance                |     30 | 3.00% |    246 | 2.46% |   2566 | 2.57% |  25374 | 2.54% 
Indiana Avenue        |     23 | 2.30% |    260 | 2.60% |   2549 | 2.55% |  25226 | 2.52% 
Illinois Avenue       |     26 | 2.60% |    299 | 2.99% |   3032 | 3.03% |  30220 | 3.02% 
B. & O. Railroad      |     28 | 2.80% |    262 | 2.62% |   2874 | 2.87% |  28230 | 2.82% 
Atlantic Avenue       |     26 | 2.60% |    270 | 2.70% |   2456 | 2.46% |  25194 | 2.52% 
Ventnor Avenue        |     25 | 2.50% |    254 | 2.54% |   2537 | 2.54% |  24869 | 2.49% 
Water Works           |     30 | 3.00% |    238 | 2.38% |   2629 | 2.63% |  26358 | 2.64% 
Marvin Gardens        |     25 | 2.50% |    254 | 2.54% |   2408 | 2.41% |  24240 | 2.42% 
Go To Jail            |     18 | 1.80% |    254 | 2.54% |   2421 | 2.42% |  24492 | 2.45% 
Pacific Avenue        |     22 | 2.20% |    244 | 2.44% |   2462 | 2.46% |  24876 | 2.49% 
North Carolina Avenue |     32 | 3.20% |    274 | 2.74% |   2425 | 2.43% |  24818 | 2.48% 
Community Chest       |     29 | 2.90% |    263 | 2.63% |   2702 | 2.70% |  26310 | 2.63% 
Pennsylvania Avenue   |     24 | 2.40% |    240 | 2.40% |   2538 | 2.54% |  25037 | 2.50% 
Short Line            |     17 | 1.70% |    231 | 2.31% |   2432 | 2.43% |  24782 | 2.48% 
Chance                |     26 | 2.60% |    252 | 2.52% |   2513 | 2.51% |  24885 | 2.49% 
Park Place            |     22 | 2.20% |    241 | 2.41% |   2468 | 2.47% |  24884 | 2.49% 
Luxury Tax            |     23 | 2.30% |    254 | 2.54% |   2485 | 2.49% |  24393 | 2.44% 
Boardwalk             |     27 | 2.70% |    304 | 3.04% |   2958 | 2.96% |  29538 | 2.95% 


                             Strategy A Simulation #4 of 10
-----------------------------------------------------------------------------------------
                      |      n = 1,000 |     n = 10,000 |    n = 100,000 |  n = 1,000,000
                      |  Count |     % |  Count |     % |  Count |     % |  Count |     %
Go                    |     34 | 3.40% |    349 | 3.49% |   3427 | 3.43% |  33917 | 3.39% 
Mediterranean Avenue  |     27 | 2.70% |    252 | 2.52% |   2365 | 2.37% |  23905 | 2.39% 
Community Chest       |     26 | 2.60% |    238 | 2.38% |   2461 | 2.46% |  23817 | 2.38% 
Baltic Avenue         |     17 | 1.70% |    249 | 2.49% |   2395 | 2.40% |  23893 | 2.39% 
Income Tax            |     26 | 2.60% |    256 | 2.56% |   2608 | 2.61% |  26615 | 2.66% 
Reading Railroad      |     27 | 2.70% |    312 | 3.12% |   3360 | 3.36% |  33575 | 3.36% 
