                             Strategy A Simulation #1 of 10
-----------------------------------------------------------------------------------------
                      |      n = 1,000 |     n = 10,000 |    n = 100,000 |  n = 1,000,000
                      |  Count |     % |  Count |     % |  Count |     % |  Count |     %
Vermont Avenue        |     32 | 3.20% |    234 | 2.34% |   2638 | 2.64% |  25994 | 2.60% 
Connecticut Avenue    |     22 | 2.20% |    251 | 2.51% |   2592 | 2.59% |  26022 | 2.60% 
Jail                  |     55 | 5.50% |    612 | 6.12% |   6249 | 6.25% |  60388 | 6.04% 
St. Charles Place     |     29 | 2.90% |    295 | 2.95% |   2916 | 2.92% |  30474 | 3.05% 
Electric Company      |     29 | 2.90% |    276 | 2.76% |   2881 | 2.88% |  28501 | 2.85% 
States Avenue         |     21 | 2.10% |    250 | 2.50% |   2539 | 2.54% |  24651 | 2.47% 
Virginia Avenue       |     31 | 3.10% |    237 | 2.37% |   2490 | 2.49% |  24661 | 2.47% 
Pennsylvania Railroad |     31 | 3.10% |    268 | 2.68% |   2813 | 2.81% |  28602 | 2.86% 
St. James Place       |     24 | 2.40% |    252 | 2.52% |   2550 | 2.55% |  25511 | 2.55% 
Community Chest       |     25 | 2.50% |    273 | 2.73% |   2536 | 2.54% |  25427 | 2.54% 
Tennessee Avenue      |     23 | 2.30% |    252 | 2.52% |   2536 | 2.54% |  25708 | 2.57% 
New York Avenue       |     27 | 2.70% |    287 | 2.87% |   2721 | 2.72% |  27402 | 2.74% 
Free Parking          |     28 | 2.80% |    264 | 2.64% |   2573 | 2.57% |  25916 | 2.59% 
Kentucky Avenue       |     25 | 2.50% |    245 | 2.45% |   2563 | 2.56% |  25316 | 2.53% 
Chance                |     32 | 3.20% |    234 | 2.34% |   2563 | 2.56% |  25485 | 2.55% 
Indiana Avenue        |     34 | 3.40% |    246 | 2.46% |   2622 | 2.62% |  25413 | 2.54% 
Illinois Avenue       |     32 | 3.20% |    313 | 3.13% |   2940 | 2.94% |  30190 | 3.02% 
B. & O. Railroad      |     25 | 2.50% |    289 | 2.89% |   2825 | 2.83% |  28276 | 2.83% 
Atlantic Avenue       |     24 | 2.40% |    263 | 2.63% |   2527 | 2.53% |  25021 | 2.50% 
Ventnor Avenue        |     18 | 1.80% |    228 | 2.28% |   2420 | 2.42% |  24633 | 2.46% 
Water Works           |     20 | 2.00% |    283 | 2.83% |   2587 | 2.59% |  26144 | 2.61% 
Marvin Gardens        |     25 | 2.50% |    221 | 2.21% |   2431 | 2.43% |  24576 | 2.46% 
Go To Jail            |     22 | 2.20% |    234 | 2.34% |   2580 | 2.58% |  24521 | 2.45% 
Pacific Avenue        |     31 | 3.10% |    240 | 2.40% |   2487 | 2.49% |  25002 | 2.50% 
North Carolina Avenue |     19 | 1.90% |    266 | 2.66% |   2476 | 2.48% |  24815 | 2.48% 
Community Chest       |     25 | 2.50% |    264 | 2.64% |   2558 | 2.56% |  26683 | 2.67% 
Pennsylvania Avenue   |     29 | 2.90% |    270 | 2.70% |   2499 | 2.50% |  24971 | 2.50% 
Short Line            |     27 | 2.70% |    240 | 2.40% |   2527 | 2.53% |  24655 | 2.47% 
Chance                |     23 | 2.30% |    245 | 2.45% |   2434 | 2.43% |  24920 | 2.49% 
Park Place            |     29 | 2.90% |    252 | 2.52% |   2446 | 2.45% |  24644 | 2.46% 
Luxury Tax            |     16 | 1.60% |    253 | 2.53% |   2455 | 2.46% |  24291 | 2.43% 
Boardwalk             |     29 | 2.90% |    276 | 2.76% |   2939 | 2.94% |  29233 | 2.92% 


                             Strategy A Simulation #8 of 10
-----------------------------------------------------------------------------------------
                      |      n = 1,000 |     n = 10,000 |    n = 100,000 |  n = 1,000,000
                      |  Count |     % |  Count |     % |  Count |     % |  Count |     %
Go                    |     39 | 3.90% |    336 | 3.36% |   3388 | 3.39% |  34155 | 3.42% 
Mediterranean Avenue  |     27 | 2.70% |    228 | 2.28% |   2466 | 2.47% |  23778 | 2.38% 
Community Chest       |     17 | 1.70% |    245 | 2.45% |   2415 | 2.42% |  24035 | 2.40% 
Baltic Avenue         |     26 | 2.60% |    238 | 2.38% |   2402 | 2.40% |  24090 | 2.41% 
Income Tax            |     24 | 2.40% |    265 | 2.65% |   2654 | 2.65% |  26437 | 2.64% 
Reading Railroad      |     35 | 3.50% |    338 | 3.38% |   3307 | 3.31% |  33070 | 3.31% 
Oriental Avenue       |     28 | 2.80% |    249 | 2.49% |   2574 | 2.57% |  25598 | 2.56% 
Chance                |     27 | 2.70% |    240 | 2.40% |   2642 | 2.64% |  26025 | 2.60% 
Vermont Avenue        |     21 | 2.10% |    254 | 2.54% |   2576 | 2.58% |  26245 | 2.62% 
Connecticut Avenue    |     23 | 2.30% |    259 | 2.59% |   2596 | 2.60% |  25970 | 2.60% 
Jail                  |     69 | 6.90% |    594 | 5.94% |   5887 | 5.89% |  60268 | 6.03% 
St. Charles Place     |     25 | 2.50% |    330 | 3.30% |   3075 | 3.08% |  30626 | 3.06% 
Electric Company      |     24 | 2.40% |    288 | 2.88% |   2864 | 2.86% |  28493 | 2.85% 
States Avenue         |     34 | 3.40% |    230 | 2.30% |   2466 | 2.47% |  24657 | 2.47% 
Virginia Avenue       |     22 | 2.20% |    237 | 2.37% |   2482 | 2.48% |  25024 | 2.50% 
Pennsylvania Railroad |     24 | 2.40% |    282 | 2.82% |   2878 | 2.88% |  28325 | 2.83% 
St. James Place       |     27 | 2.70% |    254 | 2.54% |   2532 | 2.53% |  25438 | 2.54% 
Community Chest       |     28 | 2.80% |    264 | 2.64% |   2597 | 2.60% |  25510 | 2.55% 
Tennessee Avenue      |     19 | 1.90% |    244 | 2.44% |   2567 | 2.57% |  25556 | 2.56% 
New York Avenue       |     34 | 3.40% |    289 | 2.89% |   2726 | 2.73% |  27528 | 2.75% 
Free Parking          |     28 | 2.80% |    274 | 2.74% |   2580 | 2.58% |  25946 | 2.59% 
Kentucky Avenue       |     20 | 2.00% |    249 | 2.49% |   2603 | 2.60% |  25034 | 2.50% 
Chance                |     29 | 2.90% |    262 | 2.62% |   2488 | 2.49% |  25426 | 2.54% 
Indiana Avenue        |     36 | 3.60% |    244 | 2.44% |   2553 | 2.55% |  25567 | 2.56% 
Illinois Avenue       |     26 | 2.60% |    292 | 2.92% |   2972 | 2.97% |  30004 | 3.00% 
B. & O. Railroad      |     27 | 2.70% |    273 | 2.73% |   2905 | 2.91% |  28136 | 2.81% 
Atlantic Avenue       |     22 | 2.20% |    280 | 2.80% |   2478 | 2.48% |  24988 | 2.50% 
Ventnor Avenue        |     26 | 2.60% |    252 | 2.52% |   2498 | 2.50% |  25050 | 2.51% 
Water Works           |     23 | 2.30% |    264 | 2.64% |   2607 | 2.61% |  26156 | 2.62% 
Marvin Gardens        |     31 | 3.10% |    237 | 2.37% |   2406 | 2.41% |  24312 | 2.43% 
Go To Jail            |     24 | 2.40% |    249 | 2.49% |   2393 | 2.39% |  24640 | 2.46% 
Pacific Avenue        |     15 | 1.50% |    247 | 2.47% |   2543 | 2.54% |  24854 | 2.49% 
North Carolina Avenue |     25 | 2.50% |    261 | 2.61% |   2438 | 2.44% |  24980 | 2.50% 
Community Chest       |     36 | 3.60% |    270 | 2.70% |   2565 | 2.57% |  26391 | 2.64% 
Pennsylvania Avenue   |     24 | 2.40% |    228 | 2.28% |   2533 | 2.53% |  24758 | 2.48% 
Short Line            |     23 | 2.30% |    253 | 2.53% |   2536 | 2.54% |  25082 | 2.51% 
Chance                |     21 | 2.10% |    257 | 2.57% |   2431 | 2.43% |  24723 | 2.47% 
Park Place            |     26 | 2.60% |    256 | 2.56% |   2470 | 2.47% |  24651 | 2.47% 
Luxury Tax            |     26 | 2.60% |    238 | 2.38% |   2427 | 2.43% |  24419 | 2.44% 
Boardwalk             |     24 | 2.40% |    304 | 3.04% |   2904 | 2.90% |  29382 | 2.94% 


                             Strategy A Simulation #9 of 10
-----------------------------------------------------------------------------------------
                      |      n = 1,000 |     n = 10,000 |    n = 100,000 |  n = 1,000,000
                      |  Count |     % |  Count |     % |  Count |     % |  Count |     %
Go                    |     34 | 3.40% |    341 | 3.41% |   3398 | 3.40% |  34018 | 3.40% 
Mediterranean Avenue  |     22 | 2.20% |    226 | 2.26% |   2382 | 2.38% |  23874 | 2.39% 
Community Chest       |     22 | 2.20% |    205 | 2.05% |   2441 | 2.44% |  24234 | 2.42% 
Baltic Avenue         |     22 | 2.20% |    260 | 2.60% |   2416 | 2.42% |  24000 | 2.40% 
Income Tax            |     23 | 2.30% |    270 | 2.70% |   2660 | 2.66% |  26205 | 2.62% 
Reading Railroad      |     40 | 4.00% |    359 | 3.59% |   3317 | 3.32% |  33573 | 3.36% 
Oriental Avenue       |     24 | 2.40% |    238 | 2.38% |   2554 | 2.55% |  25744 | 2.57% 
Chance                |     22 | 2.20% |    271 | 2.71% |   2621 | 2.62% |  26152 | 2.62% 
Vermont Avenue        |     25 | 2.50% |    276 | 2.76% |   2659 | 2.66% |  25889 | 2.59% 
Connecticut Avenue    |     33 | 3.30% |    241 | 2.41% |   2574 | 2.57% |  26045 | 2.60% 
Jail                  |     48 | 4.80% |    599 | 5.99% |   5972 | 5.97% |  60103 | 6.01% 
St. Charles Place     |     25 | 2.50% |    316 | 3.16% |   2982 | 2.98% |  30531 | 3.05% 
Electric Company      |     39 | 3.90% |    282 | 2.82% |   2826 | 2.83% |  28522 | 2.85% 
States Avenue         |     19 | 1.90% |    264 | 2.64% |   2505 | 2.51% |  24760 | 2.48% 
Virginia Avenue       |     30 | 3.00% |    224 | 2.24% |   2416 | 2.42% |  24688 | 2.47% 
Pennsylvania Railroad |     25 | 2.50% |    298 | 2.98% |   2924 | 2.92% |  28603 | 2.86% 
St. James Place       |     32 | 3.20% |    255 | 2.55% |   2584 | 2.58% |  25557 | 2.56% 
Community Chest       |     24 | 2.40% |    256 | 2.56% |   2502 | 2.50% |  25517 | 2.55% 
Tennessee Avenue      |     28 | 2.80% |    255 | 2.55% |   2569 | 2.57% |  25361 | 2.54% 
New York Avenue       |     28 | 2.80% |    268 | 2.68% |   2750 | 2.75% |  27348 | 2.73% 
Free Parking          |     23 | 2.30% |    245 | 2.45% |   2607 | 2.61% |  25652 | 2.57% 
Kentucky Avenue       |     25 | 2.50% |    245 | 2.45% |   2565 | 2.57% |  25605 | 2.56% 
Chance                |     28 | 2.80% |    272 | 2.72% |   2537 | 2.54% |  25253 | 2.53% 
Indiana Avenue        |     29 | 2.90% |    227 | 2.27% |   2434 | 2.43% |  25462 | 2.55% 
Illinois Avenue       |     26 | 2.60% |    314 | 3.14% |   2906 | 2.91% |  30239 | 3.02% 
B. & O. Railroad      |     27 | 2.70% |    304 | 3.04% |   2874 | 2.87% |  28095 | 2.81% 
Atlantic Avenue       |     23 | 2.30% |    249 | 2.49% |   2571 | 2.57% |  24852 | 2.49% 
Ventnor Avenue        |     22 | 2.20% |    250 | 2.50% |   2545 | 2.55% |  24544 | 2.45% 
Water Works           |     33 | 3.30% |    254 | 2.54% |   2692 | 2.69% |  26402 | 2.64% 
Marvin Gardens        |     24 | 2.40% |    233 | 2.33% |   2421 | 2.42% |  24211 | 2.42% 
Go To Jail            |     23 | 2.30% |    248 | 2.48% |   2367 | 2.37% |  24383 | 2.44% 
Pacific Avenue        |     20 | 2.00% |    269 | 2.69% |   2397 | 2.40% |  25066 | 2.51% 
North Carolina Avenue |     22 | 2.20% |    268 | 2.68% |   2492 | 2.49% |  24834 | 2.48% 
Community Chest       |     37 | 3.70% |    266 | 2.66% |   2629 | 2.63% |  26595 | 2.66% 
Pennsylvania Avenue   |     23 | 2.30% |    235 | 2.35% |   2512 | 2.51% |  25132 | 2.51% 
Short Line            |     28 | 2.80% |    236 | 2.36% |   2567 | 2.57% |  24957 | 2.50% 
Chance                |     23 | 2.30% |    255 | 2.55% |   2474 | 2.47% |  24764 | 2.48% 
Park Place            |     26 | 2.60% |    260 | 2.60% |   2514 | 2.51% |  24667 | 2.47% 
Luxury Tax            |     29 | 2.90% |    248 | 2.48% |   2354 | 2.35% |  24316 | 2.43% 
Boardwalk             |     25 | 2.50% |    292 | 2.92% |   2933 | 2.93% |  29370 | 2.94% 


                             Strategy A Simulation #10 of 10
-----------------------------------------------------------------------------------------
                      |      n = 1,000 |     n = 10,000 |    n = 100,000 |  n = 1,000,000
                      |  Count |     % |  Count |     % |  Count |     % |  Count |     %
Go                    |     27 | 2.70% |    374 | 3.74% |   3389 | 3.39% |  33897 | 3.39% 
Mediterranean Avenue  |     28 | 2.80% |    239 | 2.39% |   2345 | 2.34% |  24103 | 2.41% 
Community Chest       |     22 | 2.20% |    221 | 2.21% |   2379 | 2.38% |  23844 | 2.38% 
Baltic Avenue         |     23 | 2.30% |    246 | 2.46% |   2417 | 2.42% |  24084 | 2.41% 
Income Tax            |     30 | 3.00% |    273 | 2.73% |   2659 | 2.66% |  26176 | 2.62% 
Reading Railroad      |     32 | 3.20% |    305 | 3.05% |   3353 | 3.35% |  33242 | 3.32% 
Oriental Avenue       |     23 | 2.30% |    278 | 2.78% |   2611 | 2.61% |  25868 | 2.59% 
Chance                |     27 | 2.70% |    279 | 2.79% |   2551 | 2.55% |  25918 | 2.59% 
Vermont Avenue        |     30 | 3.00% |    247 | 2.47% |   2612 | 2.61% |  26221 | 2.62% 
Connecticut Avenue    |     19 | 1.90% |    255 | 2.55% |   2536 | 2.54% |  26006 | 2.60% 
Jail                  |     54 | 5.40% |    619 | 6.19% |   5982 | 5.98% |  60131 | 6.01% 
St. Charles Place     |     33 | 3.30% |    282 | 2.82% |   3010 | 3.01% |  30527 | 3.05% 
Electric Company      |     30 | 3.00% |    287 | 2.87% |   2915 | 2.92% |  28318 | 2.83% 
States Avenue         |     28 | 2.80% |    237 | 2.37% |   2473 | 2.47% |  24985 | 2.50% 
Virginia Avenue       |     26 | 2.60% |    239 | 2.39% |   2437 | 2.44% |  24548 | 2.45% 
Pennsylvania Railroad |     27 | 2.70% |    290 | 2.90% |   2896 | 2.90% |  28852 | 2.89% 
St. James Place       |     24 | 2.40% |    258 | 2.58% |   2541 | 2.54% |  25253 | 2.53% 
Community Chest       |     20 | 2.00% |    255 | 2.55% |   2507 | 2.51% |  25546 | 2.55% 
Tennessee Avenue      |     32 | 3.20% |    272 | 2.72% |   2565 | 2.57% |  25729 | 2.57% 
New York Avenue       |     31 | 3.10% |    267 | 2.67% |   2733 | 2.73% |  27287 | 2.73% 
Free Parking          |     10 | 1.00% |    250 | 2.50% |   2540 | 2.54% |  25777 | 2.58% 
Kentucky Avenue       |     25 | 2.50% |    272 | 2.72% |   2527 | 2.53% |  25514 | 2.55% 
Chance                |     16 | 1.60% |    246 | 2.46% |   2542 | 2.54% |  25522 | 2.55% 
Indiana Avenue        |     34 | 3.40% |    243 | 2.43% |   2576 | 2.58% |  25248 | 2.52% 
Illinois Avenue       |     34 | 3.40% |    322 | 3.22% |   3010 | 3.01% |  30438 | 3.04% 
B. & O. Railroad      |     26 | 2.60% |    272 | 2.72% |   2839 | 2.84% |  28428 | 2.84% 
Atlantic Avenue       |     26 | 2.60% |    234 | 2.34% |   2492 | 2.49% |  24760 | 2.48% 
Ventnor Avenue        |     31 | 3.10% |    262 | 2.62% |   2470 | 2.47% |  24617 | 2.46% 
Water Works           |     17 | 1.70% |    237 | 2.37% |   2690 | 2.69% |  26157 | 2.62% 
Marvin Gardens        |     21 | 2.10% |    283 | 2.83% |   2425 | 2.43% |  24208 | 2.42% 
Go To Jail            |     20 | 2.00% |    251 | 2.51% |   2409 | 2.41% |  24567 | 2.46% 
Pacific Avenue        |     27 | 2.70% |    265 | 2.65% |   2499 | 2.50% |  24789 | 2.48% 
North Carolina Avenue |     31 | 3.10% |    244 | 2.44% |   2494 | 2.49% |  24656 | 2.47% 
Community Chest       |     29 | 2.90% |    260 | 2.60% |   2653 | 2.65% |  26651 | 2.67% 
Pennsylvania Avenue   |     26 | 2.60% |    212 | 2.12% |   2554 | 2.55% |  25167 | 2.52% 
Short Line            |     19 | 1.90% |    246 | 2.46% |   2520 | 2.52% |  25178 | 2.52% 
Chance                |     25 | 2.50% |    268 | 2.68% |   2484 | 2.48% |  24815 | 2.48% 
Park Place            |     25 | 2.50% |    255 | 2.55% |   2486 | 2.49% |  24816 | 2.48% 
Luxury Tax            |     30 | 3.00% |    241 | 2.41% |   2398 | 2.40% |  24196 | 2.42% 
Boardwalk             |     34 | 3.40% |    288 | 2.88% |   2924 | 2.92% |  29281 | 2.93% 


                             Strategy B Simulation #1 of 10
-----------------------------------------------------------------------------------------
                      |      n = 1,000 |     n = 10,000 |    n = 100,000 |  n = 1,000,000
                      |  Count |     % |  Count |     % |  Count |     % |  Count |     %
Go                    |     27 | 2.70% |    352 | 3.52% |   3432 | 3.43% |  33959 | 3.40% 
Mediterranean Avenue  |     20 | 2.00% |    237 | 2.37% |   2409 | 2.41% |  23816 | 2.38% 
Community Chest       |     26 | 2.60% |    227 | 2.27% |   2368 | 2.37% |  23971 | 2.40% 
Baltic Avenue         |     17 | 1.70% |    227 | 2.27% |   2387 | 2.39% |  24013 | 2.40% 
Income Tax            |     40 | 4.00% |    240 | 2.40% |   2626 | 2.63% |  26425 | 2.64% 
Reading Railroad      |     33 | 3.30% |    327 | 3.27% |   3306 | 3.31% |  33354 | 3.34% 
Oriental Avenue       |     28 | 2.80% |    284 | 2.84% |   2596 | 2.60% |  25629 | 2.56% 
Chance                |     26 | 2.60% |    230 | 2.30% |   2609 | 2.61% |  25980 | 2.60% 
Vermont Avenue        |     23 | 2.30% |    291 | 2.91% |   2492 | 2.49% |  25791 | 2.58% 
Connecticut Avenue    |     21 | 2.10% |    252 | 2.52% |   2683 | 2.68% |  25993 | 2.60% 
Jail                  |     57 | 5.70% |    605 | 6.05% |   5925 | 5.93% |  60298 | 6.03% 
St. Charles Place     |     28 | 2.80% |    291 | 2.91% |   2977 | 2.98% |  30693 | 3.07% 
Electric Company      |     31 | 3.10% |    263 | 2.63% |   2901 | 2.90% |  28369 | 2.84% 
States Avenue         |     21 | 2.10% |    261 | 2.61% |   2537 | 2.54% |  24942 | 2.49% 
Virginia Avenue       |     25 | 2.50% |    250 | 2.50% |   2491 | 2.49% |  24657 | 2.47% 
Pennsylvania Railroad |     32 | 3.20% |    290 | 2.90% |   2802 | 2.80% |  28582 | 2.86% 
St. James Place       |     26 | 2.60% |    263 | 2.63% |   2523 | 2.52% |  25275 | 2.53% 
Community Chest       |     20 | 2.00% |    275 | 2.75% |   2593 | 2.59% |  25572 | 2.56% 
Tennessee Avenue      |     31 | 3.10% |    265 | 2.65% |   2547 | 2.55% |  26020 | 2.60% 
New York Avenue       |     27 | 2.70% |    297 | 2.97% |   2657 | 2.66% |  27380 | 2.74% 
Free Parking          |     19 | 1.90% |    246 | 2.46% |   2629 | 2.63% |  25707 | 2.57% 
Kentucky Avenue       |     28 | 2.80% |    235 | 2.35% |   2558 | 2.56% |  25638 | 2.56% 
Chance                |     21 | 2.10% |    244 | 2.44% |   2591 | 2.59% |  25601 | 2.56% 
Indiana Avenue        |     21 | 2.10% |    241 | 2.41% |   2502 | 2.50% |  25120 | 2.51% 
Illinois Avenue       |     40 | 4.00% |    317 | 3.17% |   3001 | 3.00% |  30035 | 3.00% 
B. & O. Railroad      |     19 | 1.90% |    299 | 2.99% |   2828 | 2.83% |  28319 | 2.83% 
Atlantic Avenue       |     19 | 1.90% |    242 | 2.42% |   2553 | 2.55% |  24797 | 2.48% 
Ventnor Avenue        |     34 | 3.40% |    260 | 2.60% |   2557 | 2.56% |  24981 | 2.50% 
Water Works           |     26 | 2.60% |    248 | 2.48% |   2662 | 2.66% |  25996 | 2.60% 
Marvin Gardens        |     30 | 3.00% |    242 | 2.42% |   2445 | 2.45% |  24479 | 2.45% 
Go To Jail            |     19 | 1.90% |    260 | 2.60% |   2328 | 2.33% |  24662 | 2.47% 
Pacific Avenue        |     26 | 2.60% |    225 | 2.25% |   2454 | 2.45% |  24811 | 2.48% 
North Carolina Avenue |     30 | 3.00% |    271 | 2.71% |   2475 | 2.48% |  24672 | 2.47% 
Community Chest       |     28 | 2.80% |    249 | 2.49% |   2696 | 2.70% |  26284 | 2.63% 
Pennsylvania Avenue   |     26 | 2.60% |    238 | 2.38% |   2444 | 2.44% |  25089 | 2.51% 
Short Line            |     25 | 2.50% |    256 | 2.56% |   2529 | 2.53% |  25286 | 2.53% 
Chance                |     24 | 2.40% |    263 | 2.63% |   2512 | 2.51% |  24811 | 2.48% 
Park Place            |     23 | 2.30% |    245 | 2.45% |   2432 | 2.43% |  24527 | 2.45% 
Luxury Tax            |     23 | 2.30% |    239 | 2.39% |   2443 | 2.44% |  24446 | 2.44% 
Boardwalk             |     35 | 3.50% |    302 | 3.02% |   2965 | 2.97% |  29499 | 2.95% 


                             Strategy B Simulation #2 of 10
-----------------------------------------------------------------------------------------
                      |      n = 1,000 |     n = 10,000 |    n = 100,000 |  n = 1,000,000
                      |  Count |     % |  Count |     % |  Count |     % |  Count |     %
Go                    |     30 | 3.00% |    339 | 3.39% |   3508 | 3.51% |  34102 | 3.41% 
Mediterranean Avenue  |     30 | 3.00% |    253 | 2.53% |   2335 | 2.34% |  23899 | 2.39% 
Community Chest       |     25 | 2.50% |    246 | 2.46% |   2433 | 2.43% |  23825 | 2.38% 
Baltic Avenue         |     21 | 2.10% |    256 | 2.56% |   2348 | 2.35% |  23821 | 2.38% 
Income Tax            |     25 | 2.50% |    237 | 2.37% |   2702 | 2.70% |  26322 | 2.63% 
Reading Railroad      |     42 | 4.20% |    353 | 3.53% |   3324 | 3.32% |  33598 | 3.36% 
Oriental Avenue       |     23 | 2.30% |    267 | 2.67% |   2552 | 2.55% |  25632 | 2.56% 
Chance                |     28 | 2.80% |    263 | 2.63% |   2619 | 2.62% |  26091 | 2.61% 
Vermont Avenue        |     19 | 1.90% |    263 | 2.63% |   2578 | 2.58% |  26065 | 2.61% 
Connecticut Avenue    |     27 | 2.70% |    257 | 2.57% |   2613 | 2.61% |  26029 | 2.60% 
Jail                  |     57 | 5.70% |    625 | 6.25% |   5925 | 5.93% |  60554 | 6.06% 
St. Charles Place     |     35 | 3.50% |    289 | 2.89% |   3054 | 3.05% |  30126 | 3.01% 
Electric Company      |     30 | 3.00% |    287 | 2.87% |   2861 | 2.86% |  28294 | 2.83% 
States Avenue         |     16 | 1.60% |    245 | 2.45% |   2460 | 2.46% |  24862 | 2.49% 
Virginia Avenue       |     30 | 3.00% |    254 | 2.54% |   2544 | 2.54% |  24968 | 2.50% 
Pennsylvania Railroad |     27 | 2.70% |    240 | 2.40% |   2800 | 2.80% |  28494 | 2.85% 
St. James Place       |     26 | 2.60% |    236 | 2.36% |   2555 | 2.56% |  25295 | 2.53% 
Community Chest       |     22 | 2.20% |    291 | 2.91% |   2528 | 2.53% |  25785 | 2.58% 
Tennessee Avenue      |     38 | 3.80% |    263 | 2.63% |   2563 | 2.56% |  25608 | 2.56% 
New York Avenue       |     20 | 2.00% |    261 | 2.61% |   2784 | 2.78% |  27347 | 2.73% 
Free Parking          |     24 | 2.40% |    256 | 2.56% |   2580 | 2.58% |  25595 | 2.56% 
Kentucky Avenue       |     26 | 2.60% |    260 | 2.60% |   2523 | 2.52% |  25582 | 2.56% 
Chance                |     26 | 2.60% |    251 | 2.51% |   2549 | 2.55% |  25443 | 2.54% 
Indiana Avenue        |     27 | 2.70% |    251 | 2.51% |   2537 | 2.54% |  25365 | 2.54% 
Illinois Avenue       |     37 | 3.70% |    297 | 2.97% |   3015 | 3.02% |  30222 | 3.02% 
B. & O. Railroad      |     22 | 2.20% |    269 | 2.69% |   2810 | 2.81% |  27958 | 2.80% 
Atlantic Avenue       |     21 | 2.10% |    253 | 2.53% |   2524 | 2.52% |  25105 | 2.51% 
Ventnor Avenue        |     29 | 2.90% |    243 | 2.43% |   2467 | 2.47% |  24622 | 2.46% 
Water Works           |     16 | 1.60% |    262 | 2.62% |   2617 | 2.62% |  26245 | 2.62% 
Marvin Gardens        |     41 | 4.10% |    266 | 2.66% |   2496 | 2.50% |  24266 | 2.43% 
Go To Jail            |     23 | 2.30% |    241 | 2.41% |   2441 | 2.44% |  24572 | 2.46% 
Pacific Avenue        |     22 | 2.20% |    241 | 2.41% |   2446 | 2.45% |  24732 | 2.47% 
North Carolina Avenue |     28 | 2.80% |    226 | 2.26% |   2514 | 2.51% |  25022 | 2.50% 
Community Chest       |     15 | 1.50% |    252 | 2.52% |   2604 | 2.60% |  26822 | 2.68% 
Pennsylvania Avenue   |     27 | 2.70% |    264 | 2.64% |   2482 | 2.48% |  24781 | 2.48% 
Short Line            |     25 | 2.50% |    257 | 2.57% |   2509 | 2.51% |  24820 | 2.48% 
Chance                |     28 | 2.80% |    283 | 2.83% |   2535 | 2.54% |  24723 | 2.47% 
Park Place            |     23 | 2.30% |    242 | 2.42% |   2526 | 2.53% |  24683 | 2.47% 
Luxury Tax            |     22 | 2.20% |    224 | 2.24% |   2421 | 2.42% |  24696 | 2.47% 
Boardwalk             |     34 | 3.40% |    310 | 3.10% |   2880 | 2.88% |  29408 | 2.94% 


                             Strategy B Simulation #3 of 10
-----------------------------------------------------------------------------------------
                      |      n = 1,000 |     n = 10,000 |    n = 100,000 |  n = 1,000,000
                      |  Count |     % |  Count |     % |  Count |     % |  Count |     %
Go                    |     42 | 4.20% |    327 | 3.27% |   3396 | 3.40% |  34037 | 3.40% 
Mediterranean Avenue  |     22 | 2.20% |    226 | 2.26% |   2422 | 2.42% |  23848 | 2.38% 
Community Chest       |     23 | 2.30% |    240 | 2.40% |   2269 | 2.27% |  23957 | 2.40% 
Baltic Avenue         |     22 | 2.20% |    244 | 2.44% |   2504 | 2.50% |  23900 | 2.39% 
Income Tax            |     18 | 1.80% |    282 | 2.82% |   2604 | 2.60% |  26434 | 2.64% 
Reading Railroad      |     45 | 4.50% |    320 | 3.20% |   3287 | 3.29% |  33451 | 3.35% 
Oriental Avenue       |     28 | 2.80% |    258 | 2.58% |   2608 | 2.61% |  25621 | 2.56% 
Chance                |     25 | 2.50% |    266 | 2.66% |   2625 | 2.63% |  26073 | 2.61% 
Vermont Avenue        |     26 | 2.60% |    277 | 2.77% |   2629 | 2.63% |  26139 | 2.61% 
Connecticut Avenue    |     30 | 3.00% |    248 | 2.48% |   2591 | 2.59% |  25782 | 2.58% 
Jail                  |     51 | 5.10% |    578 | 5.78% |   5942 | 5.94% |  60396 | 6.04% 
St. Charles Place     |     25 | 2.50% |    282 | 2.82% |   3112 | 3.11% |  30547 | 3.05% 
Electric Company      |     20 | 2.00% |    297 | 2.97% |   2796 | 2.80% |  28284 | 2.83% 
States Avenue         |     27 | 2.70% |    268 | 2.68% |   2432 | 2.43% |  24798 | 2.48% 
Virginia Avenue       |     23 | 2.30% |    235 | 2.35% |   2472 | 2.47% |  24963 | 2.50% 
Pennsylvania Railroad |     39 | 3.90% |    276 | 2.76% |   2858 | 2.86% |  28486 | 2.85% 
St. James Place       |     23 | 2.30% |    279 | 2.79% |   2559 | 2.56% |  25272 | 2.53% 
Community Chest       |     34 | 3.40% |    264 | 2.64% |   2511 | 2.51% |  25669 | 2.57% 
Tennessee Avenue      |     28 | 2.80% |    241 | 2.41% |   2584 | 2.58% |  25391 | 2.54% 
New York Avenue       |     27 | 2.70% |    250 | 2.50% |   2714 | 2.71% |  27248 | 2.72% 
Free Parking          |     20 | 2.00% |    255 | 2.55% |   2600 | 2.60% |  25923 | 2.59% 
Kentucky Avenue       |     32 | 3.20% |    244 | 2.44% |   2585 | 2.59% |  25663 | 2.57% 
Chance                |     22 | 2.20% |    249 | 2.49% |   2503 | 2.50% |  25374 | 2.54% 
Indiana Avenue        |     31 | 3.10% |    274 | 2.74% |   2501 | 2.50% |  25333 | 2.53% 
